电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
Once Upon a Time in the West,(1968),11/30/2022 (TW),"Drama,Western",2h 46m,83,Italian,Sergio Leone,Sergio Donati,There were three men in her life. One to take her… one to love her —and one to kill her.,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life."
It's a Wonderful Life,(1946),12/20/1946 (US),"Drama,Family,Fantasy",2h 11m,83,"$3,180,000.00",Frank Capra,Frances Goodrich,It's a wonderful laugh! It's a wonderful love!,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin."
Once Upon a Studio,(2023),10/16/2023 (TW),"Animation,Family,Fantasy,Comedy",9m,83,-,Trent Correy,Dan Abraham,100 years of Disney magic comes together.,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo."
"Josee, the Tiger and the Fish",(2020),01/20/2021 (TW),"Animation,Drama,Romance",1h 38m,83,Japanese,Kotaro Tamura,Sayaka Kuwamura,Together they can fly.,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook."
The Intouchables,(2011),03/30/2012 (TW),"Drama,Comedy",1h 53m,83,French,Éric Toledano,Olivier Nakache,Sometimes you have to reach into someone else's world to find out what's missing in your own.,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.
Apocalypse Now,(1979),05/11/2019 (TW),"Drama,War",2h 27m,83,"$31,500,000.00",Francis Ford Coppola,John Milius,This is the end...,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
Neon Genesis Evangelion: The End of Evangelion,(1997),07/19/1997 (JP),"Animation,Science Fiction,Drama,Fantasy",1h 27m,83,Japanese,Hideaki Anno,Kazuya Tsurumaki,The fate of destruction is also the joy of rebirth.,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity."
Counterattack,(2025),02/28/2025 (TW),"Action,Adventure,Thriller",1h 25m,83,Spanish; Castilian,Chava Cartas,José Rubén Escalante Méndez,Overview,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group."
Hotarubi no Mori e,(2011),09/05/2012 (TW),"Romance,Animation,Fantasy",45m,83,Japanese,Takahiro Omori,,Overview,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits..."
Paths of Glory,(1957),12/20/1957 (US),"War,Drama",1h 28m,83,"$935,000.00",Stanley Kubrick,Humphrey Cobb,It explodes in the no-man's land no picture ever dared cross before!,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.
City Lights,(1931),03/07/1931 (US),"Comedy,Drama,Romance",1h 27m,83,"$1,500,000.00",Charlie Chaplin,Harry Crocker,True Blind Love,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.
Given,(2020),11/06/2020 (TW),"Animation,Drama,Music,Romance",1h,83,Japanese,Hikaru Yamaguchi,Yuniko Ayana,A story of a certain summer.,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward."
Rascal Does Not Dream of a Dreaming Girl,(2019),09/27/2019 (TW),"Animation,Romance,Drama,Fantasy",1h 30m,83,Japanese,Soichi Masui,Hajime Kamoshida,Overview,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara."
The Lion King,(1994),07/10/1994 (TW),"Family,Animation,Drama,Adventure",1h 29m,83,"$45,000,000.00",Rob Minkoff,Roger Allers,The greatest adventure of all is finding our place in the Circle of Life.,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life."
Le Trou,(1960),03/18/1960 (FR),"Drama,Thriller,Crime",2h 12m,83,-,Jacques Becker,José Giovanni,Poor Gaspard...,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured."
Miracle in Cell No. 7,(2019),10/11/2019 (TR),Drama,2h 12m,83,Turkish,Mehmet Ada Öztekin,Kubilay Tat,Overview,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child."
Out of the Clear Blue Sky,(2019),12/24/2019 (MX),"Comedy,Drama,Music",1h 52m,83,Spanish; Castilian,Pepe Bojórquez,Alfredo Felix-Diaz,Overview,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise."
BTS World Tour: Love Yourself in Seoul,(2019),01/26/2019 (KR),"Music,Documentary",1h 53m,82,Korean,Son Sung-deuk,,Overview,Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon.
One Direction: This Is Us,(2013),08/30/2013 (US),"Documentary,Music",1h 32m,82,"$10,000,000.00",Morgan Spurlock,,Experience their lives on the road,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis' meteoric rise to fame, from their humble hometown beginnings and competing on the X-Factor, to conquering the world and performing at London’s famed O2 Arena. Hear it from the boys themselves and see through their own eyes what it's really like to be One Direction."
The Legend of 1900,(1998),03/25/2000 (TW),"Drama,Music",2h 50m,82,Italian,Giuseppe Tornatore,Alessandro Baricco,An epic story of a man who could do anything... except be ordinary,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship."
Clouds,(2020),10/09/2020 (US),"Music,Drama,Romance",2h 1m,82,-,Kara Holden,Justin Baldoni,Don't wait for tomorrow to live for today.,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon."
Billie Eilish: The World's a Little Blurry,(2021),02/26/2021 (TW),"Documentary,Music",2h 20m,82,-,R. J. Cutler,,Overview,"This documentary offers a deeply intimate look at extraordinary teenager Billie Eilish. Award-winning filmmaker R.J. Cutler follows her journey on the road, onstage, and at home with her family as the writing and recording of her debut album changes her life."
Oldboy,(2003),10/14/2005 (TW),"Drama,Thriller,Mystery,Action",2h,82,Korean,Park Chan-wook,Lim Joon-hyung,"15 years of imprisonment, five days of vengeance.","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors."
Taylor Swift: Reputation Stadium Tour,(2018),12/31/2018 (US),Music,2h 5m,82,-,Paul Dugdale,Taylor Swift,"And in the death of her reputation, she felt truly alive.","Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
